ID,Channel Name,Country,Url,Main topic,Main video category,Likes,Favorites_count,Posts,Followers,Boost Index,'Replies count',Views Avg.,Avg. 1 Day,Avg. 3 Day,Avg. 7 Day,Avg. 14 Day,Avg. 30 Day,Engagement Rate,Engagement Rate (60 Days),Post content,Hyperlinks_exist,Media_exists,Hashtags list,@ list,created_at,Compound,Subjectivity,Favorite_count,Retweet_count,Replies count,like_list,Followers_list,Followers,View_count
11,hugodecrypte,FR,https://www.instagram.com/hugodecrypte,,,,,2120,3500000,,,,,,,,,1.78,,"La carte vitale et la carte d'identité fusionnées?",0,1,,,2024-03-21 17:00:00+00:00,,,59728,164,1208,"user13,user23,user24","user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16,user23,user24",900,2800000
12,epicurieux,FR,https://www.instagram.com/epicurieux,,,,,1590,614000,,,,,,,,,0.31,,"Allergie ou intolérance au gluten?",0,1,,,2024-04-22 16:00:00+00:00,,,2399,55,45,"user25","user3,user25,user26,user27,user28,user29,user30",55,109000
13,konbini,FR,https://www.instagram.com/konbini,,,,,17900,2700000,,,,,,,,,,,"Charlotte Chopin est centenaire et elle pratique le yoga depuis plus de quarante ans. On l'avait rencontré il y a 2 ans, elle donnait alors 3 cours par semaine à des élèves de tous les âges, et nous a expliqué comment le yoga l’aide à se sentir bien dans son corps et dans sa tête.",0,1,,,2024-04-03 19:30:00+00:00,,,44645,926,262,"user20,user21,user13,user4,user22","user1,user13,user14,user18,user19",194,1200000
14,rtl_france,FR,https://www.instagram.com/rtl_france,,,,,11800,369000,,,,,,,,,,,"Santé : consommer certains émulsifiants augmente-t-il le risque de devenir diabétique ? Chronique santé du Dr. Jimmy Mohamed dans #RTLMatin L’intégralité à réécouter sur rtl.fr et l’application RTL ! #JimmyMohamed #docteur #diabète #émulsifiant #santé",0,0,#RTLMatin #JimmyMohamed #docteur #diabète #émulsifiant #santé,,2024-04-25 16:40:00+00:00,,,117,3,0,,"user25",320,297000
15,dr.jimmy.mohamed,FR,https://www.instagram.com/dr.jimmy.mohamed,,,,,682,1300000,,,,,,,,,0.0205,,"Le jeûne intermittent est-il vraiment dangereux pour la santé ?",0,0,,,2024-04-14 16:40:00+00:00,,,16656,231,520,,"user32,user33,user34",236,880000
16,demotivateur,FR,https://www.instagram.com/demotivateur,,,,,7937,758000,,,,,,,,,0.54,,"Embrasser c'est bon pour la santé !",0,1,,,2024-04-07 14:00:00+00:00,,,26003,302,163,"user35,user36","user18,user24",6,632000
17,hugodecrypte,FR,https://www.instagram.com/hugodecrypte,,,,,2120,3500000,,,,,,,,,1.78,,"L’inscription de la liberté d’avorter dans la Constitution adoptée par le Parlement.",0,1,,,2024-03-04 17:00:00+00:00,,,134619,2132,2919,"user1,user13,user37,user38,user39","user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16,user23,user24",900,2800000
18,hugodecrypte,FR,https://www.instagram.com/hugodecrypte,,,,,2120,3500000,,,,,,,,,1.78,,"Un humain a controllé une souris d'ordinateur par la pensée. Le nouveau projet d’Elon Musk ⬆️",0,1,,,2024-02-12 17:00:00+00:00,,,66055,584,269,,"user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16,user23,user24,user37,user38",900,4600000
19,le_gorafi,FR,https://www.instagram.com/le_gorafi,,,,,3185,515000,,,,,,,,,2.48,,"Les enfants qui meurent de faim remercient Jules, 6 ans, d'avoir fini sa purée",0,1,,,2024-03-26 14:00:00+00:00,,,40485,289,706,"user39","user1,user6,user13,user15,user17,user18,user3",0,632000
20,khaledbeydoun,PS,https://www.instagram.com/khaledbeydoun,,,,,2435,2300000,,,,,,,,,3.27,,"Yet unarmed protestors on America campuses are the "terrorists.",0,1,,,2024-04-26 18:00:00+00:00,,,26000,185,400,,"user41,user42",2437,
21,hugodecrypte,FR,https://www.instagram.com/hugodecrypte,,,,,2120,3500000,,,,,,,,,1.78,,"Les annonces de G. Attal sur la santé mentale des jeunes",0,1,,,2024-04-03 17:00:00+00:00,,,67693,553,807,"user3,user13","user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16",900,2400000
22,hugodecrypte,FR,https://www.instagram.com/hugodecrypte,,,,,2120,3500000,,,,,,,,,1.78,,"Le président américain Joe Biden a eu 81 ans en novembre dernier",0,1,,,2024-04-03 17:00:00+00:00,,,68891,118,673,"user6,user49","user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16",900,3000000
23,hugodecrypte,FR,https://www.instagram.com/hugodecrypte,,,,,2120,3500000,,,,,,,,,1.78,,"Voici pourquoi l’obésité augmente dans le monde",0,1,,,2024-04-03 17:00:00+00:00,,,55702,459,877,"user13","user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16",900,2400000
24,hugodecrypte,FR,https://www.instagram.com/hugodecrypte,,,,,2120,3500000,,,,,,,,,1.78,,"Kate Middleton est âgée de 42 ans atteinte de cancer",0,1,,,2024-04-03 17:00:00+00:00,,,89208,186,413,"user6,user23,user13,user1","user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16",900,2900000
25,hugodecrypte,FR,https://www.instagram.com/hugodecrypte,,,,,2120,3500000,,,,,,,,,1.78,,"L’OMS a appelé la population à remettre le masque",0,1,,,2024-04-03 17:00:00+00:00,,,65158,468,573,"user10,user13,user4","user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16",900,3300000
26,hugodecrypte,FR,https://www.instagram.com/hugodecrypte,,,,,2120,3500000,,,,,,,,,1.78,,"Pourquoi tout le monde a le nez bouché en ce moment ? De plus en plus de personnes sont allergiques au pollen en France",0,1,,,2024-04-03 17:00:00+00:00,,,147442,2006,1769,"user6,user39,user10,user3,user45,user23,user47","user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16",900,3000000
27,hugodecrypte,FR,https://www.instagram.com/hugodecrypte,,,,,2120,3500000,,,,,,,,,1.78,,"Des Pastabox contaminées ? Des Pastabox retirés des supermarchés pour risque de Listéria",0,1,,,2024-04-03 17:00:00+00:00,,,84611,855,1194,"user3,user45,user14,user46","user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16",900,2400000
28,hugodecrypte,FR,https://www.instagram.com/hugodecrypte,,,,,2120,3500000,,,,,,,,,1.78,,"L’eau potable en France contaminée par un pesticide ?",0,1,,,2024-04-03 17:00:00+00:00,,,99823,1410,908,"user5,user3","user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16",900,2100000
29,hugodecrypte,FR,https://www.instagram.com/hugodecrypte,,,,,2120,3500000,,,,,,,,,1.78,,"Ces produits augmenteraient le risque de cancer: émulsifiants",0,1,,,2024-04-03 17:00:00+00:00,,,85621,1039,691,"user1,user23,","user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16",900,3900000
30,hugodecrypte,FR,https://www.instagram.com/hugodecrypte,,,,,2120,3500000,,,,,,,,,1.78,,"Ces médicaments pourraient etre dangereux pour la santé",0,1,,,2024-04-03 17:00:00+00:00,,,76246,1653,701,"user3,user13","user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16",900,3800000
31,hugodecrypte,FR,https://www.instagram.com/hugodecrypte,,,,,2120,3500000,,,,,,,,,1.78,,"Cerfs zombie, cette maladie interroges les scientifiques",0,1,,,2024-04-03 17:00:00+00:00,,,179344,1029,1559,"user3,user45,user23,user13,user4","user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16",900,5500000
32,demotivateur,FR,https://www.instagram.com/demotivateur,,,,,7937,758000,,,,,,,,,0.54,,"Selon la science, faire de longues études diminue le risque de décès!",0,1,,,2024-01-26 14:00:00+00:00,,,2206,29,52,"user25","user18,user24,user44,user45,user46"
33,demotivateur,FR,https://www.instagram.com/demotivateur,,,,,7937,758000,,,,,,,,,0.54,,"Voilà les 5 aliments qui accélèrent le vieillissement du corps!",0,1,,,2024-02-11 14:00:00+00:00,,,13649,413,263,"user25","user18,user24,user44,user45,user46"
34,demotivateur,FR,https://www.instagram.com/demotivateur,,,,,7937,758000,,,,,,,,,0.54,,"Il se fait vacciner 217 fois contre le Covid!",0,1,,,2024-03-6 14:00:00+00:00,,,3521,32,212,"user25","user18,user24,user44,user45,user46"
35,hugodecrypte,FR,https://www.instagram.com/hugodecrypte,,,,,2120,3500000,,,,,,,,,0.54,,"Ce produit contre contre la gueule de bois poserait problème ⚠️, ce produit ne serait pas efficace ⬆️",0,1,,,2024-02-12 17:00:00+00:00,,,70396,132,575,"user1,user25,user47","user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16,user23,user24,user37,user38,user44,user45,user47"
36,brutofficiel,FR,https://www.instagram.com/brutofficiel,,,,,11900,4000000,,,,,,,,,,,"Pourquoi certains s'endorment avec un podcast sur une histoire criminelle dans les oreilles?⁣ C'est une tendance qu'on voit sur les réseaux. Flippant ou indispensable ? On a voulu comprendre concrètement quels effets ça a sur notre sommeil et pourquoi certains ne peuvent pas s'en passer.",0,1,,,2024-04-07 17:00:00+00:00,,,33004,257,676,"user25,user49,user40","user8,user11,user15,user18,user24,user29,user30,user31,user32,user34,user44,user48,user49,user50"
39,le_gorafi,FR,https://www.instagram.com/le_gorafi,,,,,3185,515000,,,,,,,,,2.48,,"Il meurt de vieillesse en tentant de fermer tous les onglets ouverts par ses parents",0,1,,,2024-03-26 14:00:00+00:00,,,26000,209,216,,,0,443000
40,le_gorafi,FR,https://www.instagram.com/le_gorafi,,,,,3185,515000,,,,,,,,,2.48,,"Nutrition-Le corps du Christ obtient la note de 12/100 sur Yuka",0,1,,,2024-03-26 14:00:00+00:00,,,22600,408,321,,,0,402000
41,le_gorafi,FR,https://www.instagram.com/le_gorafi,,,,,3185,515000,,,,,,,,,2.48,,"Obésité: La commission européenne souhaite diviser par 2 le diametre des crepes bretonnes",0,1,,,2024-03-26 14:00:00+00:00,,,10100,158,210,,,0,355000
42,le_gorafi,FR,https://www.instagram.com/le_gorafi,,,,,3185,515000,,,,,,,,,2.48,,"Dry January - Les meilleurs drogues pour compenser le manque d'alcool",0,1,,,2024-03-26 14:00:00+00:00,,,8307,208,55,,,0,250000
43,le_gorafi,FR,https://www.instagram.com/le_gorafi,,,,,3185,515000,,,,,,,,,2.48,,"Vague de froid : Selon une étude, l'hiver serait la saison la moins chaude de l'année",0,1,,,2024-03-26 14:00:00+00:00,,,25200,1066,238,,,0,876000
44,le_gorafi,FR,https://www.instagram.com/le_gorafi,,,,,3185,515000,,,,,,,,,2.48,,"Selon une étude, le bonheur serait étroitement corrélé à l'ajout de fromage fondu sur tout",0,1,,,2024-03-26 14:00:00+00:00,,,78000,3583,1288,,,0,3900000
45,le_gorafi,FR,https://www.instagram.com/le_gorafi,,,,,3185,515000,,,,,,,,,2.48,,"Elle croit dur comme fer à l'horoscope, l'homéopathie et le méritocratie",0,1,,,2024-03-26 14:00:00+00:00,,,7715,161,120,,,0,233000
46,le_gorafi,FR,https://www.instagram.com/le_gorafi,,,,,3185,515000,,,,,,,,,2.48,,"Daltonisme - Il voit les couleurs pour la première fois et peut enfin devenir raciste",0,1,,,2024-03-26 14:00:00+00:00,,,7715,161,120,,,0,429000
47,le_gorafi,FR,https://www.instagram.com/le_gorafi,,,,,3185,515000,,,,,,,,,2.48,,"Un Français va tenter de vivre pendant un an sans se plaindre",0,1,,,2024-03-26 14:00:00+00:00,,,24900,817,334,,,0,528000
48,le_gorafi,FR,https://www.instagram.com/le_gorafi,,,,,3185,515000,,,,,,,,,2.48,,"Chine _ Une femme donne naissance à 2 magnifiques emplyés",0,1,,,2024-03-26 14:00:00+00:00,,,4839,58,26,,,0,122000
49,le_gorafi,FR,https://www.instagram.com/le_gorafi,,,,,3185,515000,,,,,,,,,2.48,,"Depuis 10 ans il se fait passer pour un généraliste en disant juste, y'a plein de virus qui trainent en ce moment",0,1,,,2024-03-26 14:00:00+00:00,,,14000,200,181,,,0,346000
50,le_gorafi,FR,https://www.instagram.com/le_gorafi,,,,,3185,515000,,,,,,,,,2.48,,"Selon une coach de vie, le secret du bonheur consiste à demander 150 euros de l'heurer",0,1,,,2024-03-26 14:00:00+00:00,,,4654,79,52,,,0,128000
51,le_gorafi,FR,https://www.instagram.com/le_gorafi,,,,,3185,515000,,,,,,,,,2.48,,"Elle sombre dans la depression après qu'Yves Rocher oublie de lui souhaiter un joyeux anniversaire",0,1,,,2024-03-26 14:00:00+00:00,,,3765,37,54,,,0,99400
52,le_gorafi,FR,https://www.instagram.com/le_gorafi,,,,,3185,515000,,,,,,,,,2.48,,"Le bon vivant était en fait un alcoolique bourré de cholestrérol",0,1,,,2024-03-26 14:00:00+00:00,,,7740,144,119,,,0,154000
53,le_gorafi,FR,https://www.instagram.com/le_gorafi,,,,,3185,515000,,,,,,,,,2.48,,"Un dentiste menacé de mort parce qu'il ne recommande pas Sensodyne",0,1,,,2024-03-26 14:00:00+00:00,,,4070,25,33,,,0,94900
54,konbini,FR,https://www.instagram.com/konbini,,,,,17900,2700000,,,,,,,,,0.31,,"Marie-Lys Bibeyran raconte son combat contre l'usage des pesticides dans le secteur viticole et ses conséquences sur la santé, après le décès de son frère Denis, victime d'un cancer. Son livre, On vous le dira dans vingt ans, est disponible aux éditions BBD.",0,1,,,2024-04-10 19:30:00+00:00,,,1391,22,13,,,194,153000
55,konbini,FR,https://www.instagram.com/konbini,,,,,17900,2700000,,,,,,,,,0.31,,"Les jeunes se parfument à l'odeur du sang, de la sueur et du latex.",0,1,,,2024-04-10 19:30:00+00:00,,,13873,68,389,,,194,1000000
56,konbini,FR,https://www.instagram.com/konbini,,,,,17900,2700000,,,,,,,,,0.31,,"Un prof qui checke votre temps d’écran ? C’est ce que fait Erwan, prof d’EPS, avec ses élèves : au-delà de 4h par jour sur leur téléphone, ils doivent passer plus de temps au lycée pour faire du sport ou étudier. Il nous explique sa méthode, les résultats obtenus et la réaction des élèves.",0,1,,,2024-04-10 19:30:00+00:00,,,46199,1421,383,,,194,1700000
57,konbini,FR,https://www.instagram.com/konbini,,,,,17900,2700000,,,,,,,,,0.31,,"De la cocaïne dans les pharmacies… pour combattre le narcotrafic ?! C’est l’idée de la maire d’Amsterdam : réguler le marché de la drogue dure comme la cocaïne et la MDMA pour combattre le narcotrafic et ses conséquences. On vous explique.",0,1,,,2024-04-10 19:30:00+00:00,,,12326,235,241,,,194,905000
58,konbini,FR,https://www.instagram.com/konbini,,,,,17900,2700000,,,,,,,,,0.31,,"Naomi a eu recours à des injections à l’acide hyaluronique aux lèvres dans un cabinet clandestin. En conséquence : des lèvres trop grosses, qu’elle a regrettées. Aujourd’hui, elle a dissous le produit et sensibilise sur la pratique.",0,1,,,2024-04-10 19:30:00+00:00,,,10501,24,222,,,194,1100000
59,konbini,FR,https://www.instagram.com/konbini,,,,,17900,2700000,,,,,,,,,0.31,,"À l’hôpital de pédiatrie et de rééducation de Bullion, les enfants et adolescents malades peuvent suivre leur scolarité et des activités adaptées à leur pathologie pendant toute la durée de leur hospitalisation.",0,1,,,2024-04-10 19:30:00+00:00,,,13148,225,55,,,194,599000
60,konbini,FR,https://www.instagram.com/konbini,,,,,17900,2700000,,,,,,,,,0.31,,"Dans la dernière étude du CNL (Centre national du livre), on apprend que le temps d’écran des jeunes est 10 fois plus élevé que le temps de lecture par jour. Du coup, on a demandé à des jeunes combien de temps ils passent sur leur téléphone vs. quand date le dernier livre qu’ils ont lu. Et vous, c’est quoi le dernier livre que vous avez lu ?",0,1,,,2024-04-10 19:30:00+00:00,,,11736,27,106,,,194,667000
61,konbini,FR,https://www.instagram.com/konbini,,,,,17900,2700000,,,,,,,,,0.31,,"Quel est le risque de trop plaquer ses cheveux ? C’est quoi une alopécie de traction ? SCH va t-il finir chauve ? 👀 @dermato_drey, dermatologue, répond à toutes nos questions !",0,1,,,2024-04-10 19:30:00+00:00,,,24300,187,306,,,194,2000000
62,konbini,FR,https://www.instagram.com/konbini,,,,,17900,2700000,,,,,,,,,0.31,,"On va être sanctionné si on pose un lapin à son médecin ? 😳 Le 6 avril, le Premier Ministre Gabriel Attal a annoncé une série de mesures pour “faciliter l’accès des Français aux soins”, en voici quatre exemples 🩺",0,1,,,2024-04-10 19:30:00+00:00,,,4692,57,449,,,194,443000
63,konbini,FR,https://www.instagram.com/konbini,,,,,17900,2700000,,,,,,,,,0.31,,"Je ressens les émotions d’une personne qui a perdu quelqu’un, mais j’ai une partie de moi qui s’accroche à des petits moments de lucidité” Sarah est proche aidante auprès de sa mère atteinte de la maladie d’Alzheimer. Elle raconte son quotidien avec le “deuil blanc”",0,1,,,2024-04-10 19:30:00+00:00,,,21400,270,304,,,194,1100000
64,konbini,FR,https://www.instagram.com/konbini,,,,,17900,2700000,,,,,,,,,0.31,,"Quelles alternatives au sucre choisir ? Les alternatives au sucre blanc de betterave sont-elles vraiment meilleures pour la santé ? Elsa Abdoun, journaliste pour @ufcquechoisir, a enquêté sur les bienfaits mais aussi les fausses promesses derrière ces nouveaux produits.",0,1,,,2024-04-10 19:30:00+00:00,,,11438,167,146,,,194,736000
65,konbini,FR,https://www.instagram.com/konbini,,,,,17900,2700000,,,,,,,,,0.31,,"Retour sur le témoignage d’@enoramalagre, à l’occasion de la journée contre l’endométriose. Non, l’endométriose ne disparait pas après une grossesse. Et oui, elle est toujours difficile à faire diagnostiquer. Énora Malagré continue de se battre au quotidien contre cette maladie. Il y a quelques années, elle se confiait pour que « les choses évoluent, et vite ».",0,1,,,2024-04-10 19:30:00+00:00,,,43900,2207,603,,,194,1800000
66,konbini,FR,https://www.instagram.com/konbini,,,,,17900,2700000,,,,,,,,,0.31,,"Laura, porteuse de Trisomie 21, vit en colocation avec “Le Club des 6”. Un hébergement qui facilite l’autonomie, l’indépendance et l’insertion en société des jeunes vivant avec un handicap. Laura nous en avait fait la visite !",0,1,,,2024-04-10 19:30:00+00:00,,,19966,278,139,,,194,638000
67,konbini,FR,https://www.instagram.com/konbini,,,,,17900,2700000,,,,,,,,,0.31,,"@lucie.retail s'est fait amputer des 4 membres suite à un paludisme sévère. Elle témoigne : "Je n'ai jamais fait quoi que ce soit pour que ça arrive".",0,1,,,2024-04-10 19:30:00+00:00,,,47723,741,1068,,,194,1800000
68,konbini,FR,https://www.instagram.com/konbini,,,,,17900,2700000,,,,,,,,,0.31,,"« Les unités de soins palliatifs, ce n’est pas que des soins, c’est porter des projets de vie. » Aller pêcher une dernière fois, se marier dans le service : Pierre est infirmier en soins palliatifs, il nous racontait comment cette unité accompagne les derniers jours des patients. Retrouvez le documentaire Vivants sur Public Sénat samedi 23 mars à 22h30, puis en replay. La diffusion sera suivie d’un live Instagram sur le compte @vivants.lefilm en présence du réalisateur Victor Grange et d’une partie des équipes du film.",0,1,,,2024-04-10 19:30:00+00:00,,,11847,366,164,,,194,446000
